,dataset_name,Tree F1,Tree F1 (normalized),Min F1,Max F1
0,openml__musk__3950,1.00,1.00,0.89,1.00
1,openml__collins__3567,1.00,1.00,0.38,1.00
2,openml__irish__3543,1.00,1.00,0.66,1.00
3,openml__mushroom__24,1.00,1.00,0.95,1.00
4,openml__acute-inflammations__10089,1.00,1.00,0.60,1.00
5,openml__hayes-roth__146063,0.80,1.00,0.44,0.80
6,openml__visualizing_livestock__3731,0.85,1.00,0.78,0.85
7,openml__shuttle__146212,1.00,1.00,0.91,1.00
8,openml__cardiotocography__9979,1.00,1.00,0.28,1.00
9,openml__wall-robot-navigation__9960,1.00,0.99,0.69,1.00
10,openml__solar-flare__2068,0.99,0.99,0.99,0.99
11,openml__skin-segmentation__9965,1.00,0.98,0.92,1.00
12,openml__anneal__2867,0.99,0.98,0.66,0.99
13,openml__sylva_agnostic__3889,0.99,0.98,0.77,0.99
14,openml__adult__7592,0.86,0.97,0.24,0.87
15,openml__adult-census__3953,0.85,0.97,0.24,0.87
16,openml__gas-drift-different-concentrations__9987,0.97,0.96,0.15,1.00
17,openml__gas-drift__9986,0.96,0.96,0.15,0.99
18,openml__soybean__41,0.92,0.96,0.47,0.94
19,openml__transplant__3748,0.98,0.96,0.82,0.99
20,openml__kr-vs-kp__3,0.99,0.96,0.94,1.00
21,openml__colic__25,0.86,0.95,0.64,0.87
22,openml__rabe_266__3647,0.97,0.95,0.80,0.97
23,openml__iris__59,0.95,0.95,0.33,0.99
24,openml__cjs__14967,0.96,0.95,0.28,1.00
25,openml__sylvine__168912,0.93,0.95,0.50,0.95
26,openml__car__146821,0.97,0.93,0.58,1.00
27,openml__car-evaluation__146192,0.97,0.92,0.58,1.00
28,openml__mfeat-morphological__18,0.68,0.92,0.02,0.73
29,openml__eucalyptus__2079,0.62,0.92,0.21,0.66
30,openml__labor__4,0.92,0.91,0.59,0.95
31,openml__ecoli__145977,0.81,0.91,0.25,0.87
32,openml__house_16H__3686,0.86,0.90,0.55,0.90
33,openml__sick__3021,0.98,0.90,0.94,0.99
34,openml__Fashion-MNIST__146825,0.81,0.90,0.02,0.90
35,openml__monks-problems-2__146065,0.96,0.89,0.64,1.00
36,openml__page-blocks__30,0.97,0.89,0.91,0.97
37,openml__steel-plates-fault__146817,0.73,0.89,0.18,0.80
38,openml__nursery__9892,0.99,0.89,0.91,1.00
39,openml__tae__47,0.60,0.88,0.27,0.64
40,openml__credit-approval__29,0.85,0.88,0.68,0.88
41,openml__philippine__190410,0.74,0.88,0.50,0.77
42,openml__autos__9,0.73,0.87,0.24,0.80
43,openml__banknote-authentication__10093,0.98,0.87,0.88,1.00
44,openml__colic__27,0.83,0.87,0.71,0.85
45,openml__splice__45,0.92,0.87,0.68,0.96
46,openml__lymph__10,0.76,0.85,0.39,0.83
47,openml__analcatdata_chlamydia__3739,0.91,0.85,0.74,0.94
48,openml__APSFailure__168868,0.99,0.84,0.97,0.99
49,openml__analcatdata_dmft__3560,0.21,0.84,0.16,0.22
50,openml__ada_agnostic__3896,0.85,0.84,0.79,0.86
51,openml__jannis__168330,0.65,0.83,0.32,0.72
52,openml__audiology__7,0.68,0.83,0.21,0.78
53,openml__magic__146206,0.85,0.83,0.65,0.89
54,openml__MagicTelescope__3954,0.85,0.83,0.65,0.89
55,openml__churn__167141,0.94,0.83,0.86,0.96
56,openml__breast-w__15,0.95,0.83,0.86,0.97
57,openml__wilt__146820,0.98,0.82,0.95,0.99
58,openml__JapaneseVowels__3510,0.87,0.82,0.32,0.99
59,openml__blood-transfusion-service-center__145836,0.79,0.82,0.75,0.80
60,openml__arrhythmia__5,0.63,0.81,0.38,0.69
61,openml__fri_c0_100_5__3620,0.83,0.81,0.49,0.91
62,openml__primary-tumor__146032,0.38,0.81,0.11,0.44
63,openml__Satellite__167211,0.99,0.80,0.99,0.99
64,openml__cylinder-bands__14954,0.74,0.79,0.42,0.83
65,openml__airlines__189354,0.65,0.78,0.57,0.67
66,openml__Australian__146818,0.84,0.77,0.71,0.87
67,openml__spambase__43,0.92,0.77,0.79,0.96
68,openml__dresses-sales__125920,0.60,0.77,0.54,0.62
69,openml__glass__40,0.62,0.76,0.19,0.76
70,openml__mfeat-factors__12,0.88,0.76,0.57,0.98
71,openml__Internet-Advertisements__167125,0.97,0.76,0.94,0.97
72,openml__walking-activity__9945,0.56,0.76,0.21,0.67
73,openml__segment__146822,0.91,0.75,0.83,0.94
74,openml__pc1__3918,0.93,0.75,0.92,0.94
75,openml__christine__168908,0.68,0.75,0.50,0.74
76,openml__madelon__9976,0.76,0.74,0.50,0.86
77,openml__diabetes__37,0.74,0.74,0.64,0.77
78,openml__socmob__3797,0.93,0.74,0.86,0.95
79,openml__phoneme__9952,0.87,0.74,0.75,0.91
80,openml__jm1__3904,0.81,0.73,0.78,0.82
81,openml__fl2000__3566,0.68,0.73,0.43,0.77
82,openml__dermatology__35,0.94,0.71,0.85,0.98
83,openml__eeg-eye-state__14951,0.82,0.71,0.45,0.96
84,openml__cmc__23,0.53,0.71,0.46,0.56
85,openml__vehicle__53,0.71,0.71,0.39,0.84
86,openml__analcatdata_boxing1__3540,0.76,0.69,0.57,0.84
87,openml__guillermo__168337,0.76,0.69,0.60,0.84
88,openml__pollen__3735,0.50,0.68,0.48,0.51
89,openml__MiniBooNE__168335,0.91,0.66,0.84,0.95
90,openml__elevators__3711,0.83,0.65,0.70,0.90
91,openml__yeast__145793,0.59,0.65,0.49,0.65
92,openml__breast-cancer__145799,0.73,0.63,0.67,0.77
93,openml__tic-tac-toe__49,0.87,0.63,0.65,1.00
94,openml__haberman__42,0.71,0.63,0.65,0.75
95,openml__electricity__219,0.85,0.62,0.69,0.94
96,openml__letter__6,0.76,0.62,0.42,0.97
97,openml__bank-marketing__14965,0.90,0.61,0.88,0.91
98,openml__libras__360948,0.36,0.60,0.24,0.44
99,openml__ldpa__9974,0.63,0.60,0.10,0.98
100,openml__heart-c__48,0.78,0.59,0.65,0.86
101,openml__chess__3952,0.64,0.59,0.24,0.92
102,openml__bank-marketing__9899,0.89,0.59,0.88,0.90
103,openml__kropt__2076,0.64,0.59,0.24,0.92
104,openml__MiceProtein__146800,0.84,0.59,0.61,1.00
105,openml__heart-h__50,0.78,0.59,0.68,0.84
106,openml__scene__3485,0.93,0.58,0.84,0.99
107,openml__postoperative-patient-data__146210,0.67,0.57,0.57,0.75
108,openml__pendigits__32,0.96,0.56,0.91,1.00
109,openml__Amazon_employee_access__34539,0.94,0.56,0.93,0.95
110,openml__dna__167140,0.92,0.56,0.86,0.96
111,openml__fri_c3_100_5__3779,0.76,0.55,0.60,0.89
112,openml__vowel__3022,0.80,0.55,0.56,0.98
113,openml__numerai28.6__167120,0.52,0.55,0.51,0.52
114,openml__pc4__3902,0.89,0.55,0.87,0.91
115,openml__robert__168332,0.28,0.54,0.02,0.50
116,openml__ionosphere__145984,0.90,0.53,0.83,0.95
117,openml__satimage__2074,0.86,0.53,0.79,0.92
118,openml__artificial-characters__14964,0.64,0.53,0.30,0.95
119,openml__wdbc__9946,0.93,0.52,0.88,0.97
120,openml__hepatitis__54,0.79,0.52,0.72,0.85
121,openml__eye_movements__3897,0.58,0.52,0.39,0.76
122,openml__connect-4__146195,0.70,0.51,0.54,0.86
123,openml__GesturePhaseSegmentationProcessed__14969,0.50,0.50,0.32,0.68
124,openml__higgs__146606,0.69,0.49,0.64,0.73
125,openml__first-order-theorem-proving__9985,0.52,0.48,0.43,0.61
126,openml__visualizing_environmental__3602,0.63,0.47,0.53,0.74
127,openml__fertility__9984,0.80,0.47,0.73,0.88
128,openml__blood-transfusion-service-center__10101,0.77,0.46,0.75,0.79
129,openml__PhishingWebsites__14952,0.95,0.46,0.93,0.97
130,openml__qsar-biodeg__9957,0.84,0.45,0.80,0.88
131,openml__Bioresponse__9910,0.76,0.45,0.74,0.80
132,openml__Census-Income__168340,0.95,0.45,0.95,0.96
133,openml__profb__3561,0.66,0.42,0.61,0.73
134,openml__Click_prediction_small__190408,0.83,0.41,0.83,0.84
135,openml__gina_agnostic__3891,0.86,0.38,0.80,0.96
136,openml__sonar__39,0.68,0.37,0.57,0.87
137,openml__credit-g__31,0.72,0.34,0.70,0.77
138,openml__ilpd__9971,0.67,0.30,0.65,0.72
139,openml__kc2__3913,0.81,0.30,0.79,0.85
140,openml__synthetic_control__3512,0.91,0.29,0.87,1.00
141,openml__lung-cancer__146024,0.30,0.27,0.24,0.46
142,openml__pc3__3903,0.89,0.26,0.89,0.90
143,openml__SpeedDating__146607,0.84,0.26,0.83,0.87
144,openml__nomao__9977,0.95,0.25,0.95,0.97
145,openml__volkert__168331,0.55,0.22,0.51,0.70
146,openml__mfeat-fourier__14,0.75,0.22,0.72,0.86
147,openml__one-hundred-plants-texture__9956,0.17,0.19,0.02,0.83
148,openml__kc1__3917,0.85,0.18,0.84,0.86
149,openml__jungle_chess_2pcs_raw_endgame_complete__167119,0.81,0.12,0.80,0.95
150,openml__jasmine__168911,0.78,0.10,0.78,0.82
151,openml__dilbert__168909,0.80,0.04,0.79,0.99
152,openml__hill-valley__145847,0.51,0.03,0.50,0.98
153,openml__LED-display-domain-7digit__125921,0.70,0.01,0.70,0.73
154,openml__CIFAR_10__167124,0.30,0.00,0.30,0.55
155,openml__texture__125922,0.92,0.00,0.92,1.00
156,openml__fabert__168910,0.27,0.00,0.27,0.71
157,openml__har__14970,0.94,0.00,0.94,0.99
158,openml__analcatdata_authorship__3549,0.93,0.00,0.93,1.00
159,openml__balance-scale__11,0.78,0.00,0.78,0.99
160,openml__ozone-level-8hr__9978,0.93,0.00,0.93,0.94
161,openml__mfeat-karhunen__16,0.81,0.00,0.81,0.98
162,openml__climate-model-simulation-crashes__146819,0.91,0.00,0.91,0.96
163,openml__semeion__9964,0.75,0.00,0.75,0.96
164,openml__cnae-9__9981,0.73,0.00,0.73,0.95
165,openml__mfeat-pixel__146824,0.88,0.00,0.88,0.98
166,openml__mfeat-zernike__22,0.68,0.00,0.68,0.89
167,openml__mnist_784__3573,0.87,0.00,0.87,0.98
168,openml__riccardo__168338,0.88,0.00,0.88,1.00
169,openml__optdigits__28,0.89,0.00,0.89,0.99
170,openml__isolet__3481,0.81,0.00,0.81,0.97
